queue_id,queue_audit_status,source_id,paper_title,response_type,local_relpath,candidate_descriptor,candidate_type,candidate_label,pdf_page,source_page_render,render_status,candidate_text,next_action
DIG-32a1561c-survival,audited_candidate_available,32a1561c-9cd6-4e97-9287-c9e5eafafc22,Welsh et al. - 2015 - Clustered parrotfish feeding scars trigger partial coral mortality of massive Porites colonies on th.pdf,survival,literature/META_ANALYSIS_POOL/Welsh et al. - 2015 - Clustered parrotfish feeding scars trigger partial coral mortality of massive Porites colonies on th.pdf,figure:Fig. 1:p3,figure,Fig. 1,3,digitization/figures/source_pages/32a1561c__page-003.png,rendered,"Fig. 1. A single parrotfish (C. microrhinos) feeding scar, a scar cluster on the surface of a Porites colony, and a single scar resulting in partial coral mortality surrounding a scar.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-32a1561c-survival,audited_candidate_available,32a1561c-9cd6-4e97-9287-c9e5eafafc22,Welsh et al. - 2015 - Clustered parrotfish feeding scars trigger partial coral mortality of massive Porites colonies on th.pdf,survival,literature/META_ANALYSIS_POOL/Welsh et al. - 2015 - Clustered parrotfish feeding scars trigger partial coral mortality of massive Porites colonies on th.pdf,table:Table 1:p4,table,Table 1,4,digitization/figures/source_pages/32a1561c__page-004.png,rendered,Table 1. Results of the binary General Linear Model assessing the influence of initial scar count and colony size on the fate of feeding scars (n = 30).,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-32a1561c-survival,audited_candidate_available,32a1561c-9cd6-4e97-9287-c9e5eafafc22,Welsh et al. - 2015 - Clustered parrotfish feeding scars trigger partial coral mortality of massive Porites colonies on th.pdf,survival,literature/META_ANALYSIS_POOL/Welsh et al. - 2015 - Clustered parrotfish feeding scars trigger partial coral mortality of massive Porites colonies on th.pdf,figure:Fig. 2:p4,figure,Fig. 2,4,digitization/figures/source_pages/32a1561c__page-004.png,rendered,"Fig. 2. Logistic model of the relationship between the probability of feeding scar recovery, the number of feeding scars initially recorded, and the initial area-to-perimeter ratio. Each dot marks the final status of a scar after four months of monitoring as fully recovered, reduced, or expanded.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-33b7b9b2-rate,audited_candidate_available,33b7b9b2-9041-454b-bba3-abfadd68029f,Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,rate,literature/META_ANALYSIS_POOL/Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,figure:Fig. 1:p3,figure,Fig. 1,3,digitization/figures/source_pages/33b7b9b2__page-003.png,rendered,Fig. 1. Lesion recovery of representative Porites porites and P. astreoides after 10 days under 2 pH conditions (C-8.1 and L-7.6) and for 2 fragment sizes (1 x 1 cm and 5 x 5 cm).,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-33b7b9b2-rate,audited_candidate_available,33b7b9b2-9041-454b-bba3-abfadd68029f,Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,rate,literature/META_ANALYSIS_POOL/Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,figure:Fig. 2:p4,figure,Fig. 2,4,digitization/figures/source_pages/33b7b9b2__page-004.png,rendered,"Fig. 2. Average percent lesion recovery (mean +/- SEM, n = 9) after 10 days for (A) Porites porites and (B) P. astreoides in low (L-7.6) and control (C-8.1) pH and two fragment sizes (1 x 1 cm and 5 x 5 cm).","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-347f789a-rate,audited_candidate_available,347f789a-ef73-4089-aa77-0e46f2b2d196,Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,rate,literature/META_ANALYSIS_POOL/Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,figure:Fig. 1:p4,figure,Fig. 1,4,digitization/figures/source_pages/347f789a__page-004.png,rendered,"Fig. 1. Sample images of lesion generation and recovery on an O. franksi individual and an A. lamarcki individual through time, including lesion boundaries used for determining tissue regeneration rate and lesion closure rate and polygons used for pigmentation recovery measurements.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-347f789a-rate,audited_candidate_available,347f789a-ef73-4089-aa77-0e46f2b2d196,Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,rate,literature/META_ANALYSIS_POOL/Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,figure:Fig. 2:p7,figure,Fig. 2,7,digitization/figures/source_pages/347f789a__page-007.png,rendered,"Fig. 2. Tissue regeneration rates, lesion closure rates, and pigmentation recovery rates for O. franksi individuals and A. lamarcki individuals. Points indicate actual values and lines indicate best-fit regression modeling outputs.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-347f789a-rate,audited_candidate_available,347f789a-ef73-4089-aa77-0e46f2b2d196,Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,rate,literature/META_ANALYSIS_POOL/Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,table:Table 1:p6,table,Table 1,6,digitization/figures/source_pages/347f789a__page-006.png,rendered,"Table 1. Slope, significant terms and r2 value of all linear regressions tested for O. franksi; Orbicella franksi recovery model summaries.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-347f789a-rate,audited_candidate_available,347f789a-ef73-4089-aa77-0e46f2b2d196,Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,rate,literature/META_ANALYSIS_POOL/Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,table:Table 2:p8,table,Table 2,8,digitization/figures/source_pages/347f789a__page-008.png,rendered,"Table 2. Slope, significant terms and r2 value of all linear regressions tested for A. lamarcki; Agaricia lamarcki recovery model summaries.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-398d01aa-survival,audited_candidate_available,398d01aa-1e0e-4c46-9989-8490ca8748d5,Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,survival,literature/META_ANALYSIS_POOL/Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,table:Table 4:p6,table,Table 4,6,digitization/figures/source_pages/398d01aa__page-006.png,rendered,"Table 4. Partial mortality measured as lesion size (cm2) in Acropora palmata, Diploria strigosa, and Porites astreoides. Lesions are grouped into type I and type II; Acropora lesions are separated by branch side.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-398d01aa-survival,audited_candidate_available,398d01aa-1e0e-4c46-9989-8490ca8748d5,Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,survival,literature/META_ANALYSIS_POOL/Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,figure:Figure 3:p9,figure,Figure 3,9,digitization/figures/source_pages/398d01aa__page-009.png,rendered,Figure 3. Percentage of colonies with and without partial mortality in colony size classes of Diploria strigosa and Porites astreoides. Total number of colonies is shown in white bars.,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-398d01aa-survival,audited_candidate_available,398d01aa-1e0e-4c46-9989-8490ca8748d5,Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,survival,literature/META_ANALYSIS_POOL/Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,table:Table 1:p5,table,Table 1,5,digitization/figures/source_pages/398d01aa__page-005.png,rendered,Table 1. Geometric mean number of lesions per colony and per square meter and percent colonies damaged for the three surveyed species.,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-398d01aa-survival,audited_candidate_available,398d01aa-1e0e-4c46-9989-8490ca8748d5,Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,survival,literature/META_ANALYSIS_POOL/Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,table:Table 2:p5,table,Table 2,5,digitization/figures/source_pages/398d01aa__page-005.png,rendered,"Table 2. Acropora palmata. Relation of lesion abundance to reef location, lesion type, and branch side.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-398d01aa-survival,audited_candidate_available,398d01aa-1e0e-4c46-9989-8490ca8748d5,Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,survival,literature/META_ANALYSIS_POOL/Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,table:Table 3:p6,table,Table 3,6,digitization/figures/source_pages/398d01aa__page-006.png,rendered,"Table 3. Number of lesions per branch per colony, including geometric mean of type I and II lesions, damaged branches, and maximum number per branch.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-3d374a40-growth,audited_candidate_available,3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",growth,"literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",table:Table 1:p3,table,Table 1,3,digitization/figures/source_pages/3d374a40__page-003.png,rendered,"Table 1. Summary of results of PERMANOVA permutation tests applied to report the effects of temperature, coral species and presence/absence of injury in coral fragments' mortality, partial mortality, growth and regeneration rates. Significant differences are marked in bold.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-3d374a40-growth,audited_candidate_available,3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",growth,"literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",table:Table 2:p8,table,Table 2,8,digitization/figures/source_pages/3d374a40__page-008.png,rendered,Table 2. Coral fragments' average growth rate ± standard deviation in the three temperature experiments (g g−1 day−1). NA – not available.,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-3d374a40-rate,audited_candidate_available,3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",rate,"literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",table:Table 3:p8,table,Table 3,8,digitization/figures/source_pages/3d374a40__page-008.png,rendered,Table 3. Coral fragments' average regeneration rate ± standard deviation in the three temperature experiments (mm2 day−1) measured until complete regeneration or the last time point they were still alive. For more information see Supplementary material – Table 1.,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-3d374a40-rate,audited_candidate_available,3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",rate,"literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",table:Table 1:p3,table,Table 1,3,digitization/figures/source_pages/3d374a40__page-003.png,rendered,"Table 1. Summary of results of PERMANOVA permutation tests applied to report the effects of temperature, coral species and presence/absence of injury in coral fragments' mortality, partial mortality, growth and regeneration rates. Significant differences are marked in bold.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-3d374a40-survival,audited_candidate_available,3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",survival,"literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",figure:Fig. 1:p5,figure,Fig. 1,5,digitization/figures/source_pages/3d374a40__page-005.png,rendered,Fig. 1. Mortality of the coral species' fragments studied throughout the three temperature experiments.,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-3d374a40-survival,audited_candidate_available,3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",survival,"literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",table:Table 1:p3,table,Table 1,3,digitization/figures/source_pages/3d374a40__page-003.png,rendered,"Table 1. Summary of results of PERMANOVA permutation tests applied to report the effects of temperature, coral species and presence/absence of injury in coral fragments' mortality, partial mortality, growth and regeneration rates. Significant differences are marked in bold.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-3d374a40-survival,audited_candidate_available,3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",survival,"literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",figure:Fig. 2:p6,figure,Fig. 2,6,digitization/figures/source_pages/3d374a40__page-006.png,rendered,"Fig. 2. Partial mortality of the coral species' fragments studied throughout the three temperature experiments separated in percentage classes [0,25%[, [25,50%[, [50,75%[ and [75,100%].","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-3f852e08-growth,audited_candidate_available,3f852e08-6b2f-488b-9351-0f78b2ba41a5,Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,growth,literature/META_ANALYSIS_POOL/Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,figure:Fig. 6:p8,figure,Fig. 6,8,digitization/figures/source_pages/3f852e08__page-008.png,rendered,"Fig. 6. Mean (+/- 95% CI) growth in terms of (a) normalized linear extension and (b) normalized weight of Pocillopora spp. nubbins in each of three predation treatments (Predation, cage control = CC, and Predation exclusion), plus (c) ratio between normalized weight gained and increased linear extension.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-3f852e08-growth,audited_candidate_available,3f852e08-6b2f-488b-9351-0f78b2ba41a5,Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,growth,literature/META_ANALYSIS_POOL/Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,figure:Fig. 5:p8,figure,Fig. 5,8,digitization/figures/source_pages/3f852e08__page-008.png,rendered,"Fig. 5. Adjusted mean (+/- 95% CI) of the change in weight attained by pocilloporid colonies exposed to different levels of simulated bite-inflicted damage (control = 0% or no damage, and 25, 50, or 75% of colony branch tips damaged). Means of change in weight were adjusted by ANCOVA to the mean initial weight of colonies.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-3f852e08-growth,audited_candidate_available,3f852e08-6b2f-488b-9351-0f78b2ba41a5,Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,growth,literature/META_ANALYSIS_POOL/Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,table:Table 1:p9,table,Table 1,9,digitization/figures/source_pages/3f852e08__page-009.png,rendered,"Table 1. Carbonate budget estimated for La Azufrada coral reef, considering only the production of Pocillopora spp. and the destruction by the puffer Arothron meleagris.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-40359446-growth,audited_candidate_available,40359446-8345-4a72-8169-af86ad3de9d6,Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,growth,literature/META_ANALYSIS_POOL/Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,figure:Fig. 1:p7,figure,Fig. 1,7,digitization/figures/source_pages/40359446__page-007.png,rendered,Fig. 1. Pocillopora verrucosa. Growth after 10 d incubation at high/low flow and high/low temperature for corals that were injured or uninjured in two replicate trials.,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-40359446-growth,audited_candidate_available,40359446-8345-4a72-8169-af86ad3de9d6,Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,growth,literature/META_ANALYSIS_POOL/Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,table:Table 2:p7,table,Table 2,7,digitization/figures/source_pages/40359446__page-007.png,rendered,"Table 2. Results of a 3-way, blocked ANOVA comparing the growth in buoyant weight of Pocillopora verrucosa nubbins as a function of injury, flow speed, temperature, and their interaction in the laboratory experiment.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-40359446-growth,audited_candidate_available,40359446-8345-4a72-8169-af86ad3de9d6,Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,growth,literature/META_ANALYSIS_POOL/Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,table:Table 4:p8,table,Table 4,8,digitization/figures/source_pages/40359446__page-008.png,rendered,"Table 4. Results of a 2-way ANOVA comparing the growth in buoyant weight of juvenile Pocillopora verrucosa as a function of substrate type, predation, and their interaction.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-40359446-rate,audited_candidate_available,40359446-8345-4a72-8169-af86ad3de9d6,Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,rate,literature/META_ANALYSIS_POOL/Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,figure:Fig. 2:p8,figure,Fig. 2,8,digitization/figures/source_pages/40359446__page-008.png,rendered,Fig. 2. Pocillopora verrucosa. Mean percent (+ SE) of lesions healed at the end of the 10 d trials; results from the two trials are pooled.,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-45fcfd8e-survival,audited_candidate_available,45fcfd8e-a2d2-4345-aec0-baeb03f883a4,Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,survival,literature/META_ANALYSIS_POOL/Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,figure:Fig. 6:p7,figure,Fig. 6,7,digitization/figures/source_pages/45fcfd8e__page-007.png,rendered,"Fig. 6. Probability of over-predation versus coral cover (C) and healing time (h). The surface is the model prediction as a function of C and h, the line is the model prediction for the measured healing time h = 42 days, and the points are site-specific probabilities of over-predation.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-4cc9b30b-growth,audited_candidate_available,4cc9b30b-9ed8-4123-82aa-2f182db391b7,Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,growth,literature/META_ANALYSIS_POOL/Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,figure:Fig. 2:p3,figure,Fig. 2,3,digitization/figures/source_pages/4cc9b30b__page-003.png,rendered,"Fig. 2. The average cumulative weight gain (g cm-2) for 5-cm undamaged controls, 4-cm treatment nubbins, 2-cm treatment nubbins, and 1-cm treatment nubbins over the 3-month monitoring period. The dashed line indicates the average time of scar healing.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-4cc9b30b-rate,audited_candidate_available,4cc9b30b-9ed8-4123-82aa-2f182db391b7,Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,rate,literature/META_ANALYSIS_POOL/Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,figure:Fig. 2:p3,figure,Fig. 2,3,digitization/figures/source_pages/4cc9b30b__page-003.png,rendered,"Fig. 2. The average cumulative weight gain (g cm-2) for 5-cm undamaged controls, 4-cm treatment nubbins, 2-cm treatment nubbins, and 1-cm treatment nubbins over the 3-month monitoring period. The dashed line indicates the average time of scar healing.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-58b15640-growth,audited_candidate_available,58b15640-3061-4ea9-a606-877701eef38c,"Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",growth,"literature/META_ANALYSIS_POOL/Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",figure:Fig. 3:p8,figure,Fig. 3,8,digitization/figures/source_pages/58b15640__page-008.png,rendered,Fig. 3. Effect of lesion spacing on coral growth rates at different locations on the colony represented by the angle of growth.,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-58b15640-growth,audited_candidate_available,58b15640-3061-4ea9-a606-877701eef38c,"Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",growth,"literature/META_ANALYSIS_POOL/Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",table:Table 2:p7,table,Table 2,7,digitization/figures/source_pages/58b15640__page-007.png,rendered,Table 2. Model selection information: effect of lesion spacing on linear extension.,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-58b15640-growth,audited_candidate_available,58b15640-3061-4ea9-a606-877701eef38c,"Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",growth,"literature/META_ANALYSIS_POOL/Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",figure:Fig. 2:p7,figure,Fig. 2,7,digitization/figures/source_pages/58b15640__page-007.png,rendered,Fig. 2. Effect of lesion spacing on percent of lesion healed and coral skeletal growth rate after 20 and 39 days. Values plotted are fitted values from the mixed effects model and error bars represent +/- 1 SE.,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-58b15640-growth,audited_candidate_available,58b15640-3061-4ea9-a606-877701eef38c,"Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",growth,"literature/META_ANALYSIS_POOL/Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",table:Table 3:p7,table,Table 3,7,digitization/figures/source_pages/58b15640__page-007.png,rendered,Table 3. Parameter estimates: effect of lesion spacing on linear extension.,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-58b15640-rate,audited_candidate_available,58b15640-3061-4ea9-a606-877701eef38c,"Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",rate,"literature/META_ANALYSIS_POOL/Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",figure:Fig. 2:p7,figure,Fig. 2,7,digitization/figures/source_pages/58b15640__page-007.png,rendered,Fig. 2. Effect of lesion spacing on percent of lesion healed and coral skeletal growth rate after 20 and 39 days. Values plotted are fitted values from the mixed effects model and error bars represent +/- 1 SE.,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-5f4a560f-rate,audited_candidate_available,5f4a560f-1449-4b1d-96ad-236a0da5fcb7,Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,rate,literature/META_ANALYSIS_POOL/Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,figure:Fig. 1:p3,figure,Fig. 1,3,digitization/figures/source_pages/5f4a560f__page-003.png,rendered,"Fig. 1. Lesion recovery of representative Stylophora pistillata fragments after 0, 30, and 60 d under three pCO2 treatments (400, 1,800, and 4,000 uatm).","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-5f4a560f-rate,audited_candidate_available,5f4a560f-1449-4b1d-96ad-236a0da5fcb7,Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,rate,literature/META_ANALYSIS_POOL/Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,figure:Fig. 2:p5,figure,Fig. 2,5,digitization/figures/source_pages/5f4a560f__page-005.png,rendered,"Fig. 2. Percentage tissue regeneration of lesions after 60 d under three pCO2 treatments (400, 1,800, and 4,000 uatm) in Porites sp., Favia favus, Acropora eurystoma, and Stylophora pistillata.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-635d9cb2-reproduction,audited_candidate_available,635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,reproduction,literature/META_ANALYSIS_POOL/Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,figure:Figure 1:p4,figure,Figure 1,4,digitization/figures/source_pages/635d9cb2__page-004.png,rendered,"Figure 1. Brood sizes of central versus marginal polyps in Favia fragum. Mean number of planulae per polyp based on five marginal polyps per colony and, depending upon colony size, up to five central polyps per colony; each point represents one colony. The diagonal line indicates equal brood size in marginal and central polyps.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-635d9cb2-reproduction,audited_candidate_available,635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,reproduction,literature/META_ANALYSIS_POOL/Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,figure:Figure 3:p5,figure,Figure 3,5,digitization/figures/source_pages/635d9cb2__page-005.png,rendered,"Figure 3. Fecundity gradient on horizontal surface of Siderastrea siderea. Gonad index: mean gonad length x frequency of gonads, based on two randomly chosen mesenteries per polyp in each of ten randomly chosen polyps at any given location relative to that in the center of the horizontal surface of the colony. Vertical bars represent standard errors; 0 is beginning of fertile zone and C is center of the horizontal surface.","Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
DIG-635d9cb2-reproduction,audited_candidate_available,635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,reproduction,literature/META_ANALYSIS_POOL/Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,figure:Figure 5:p6,figure,Figure 5,6,digitization/figures/source_pages/635d9cb2__page-006.png,rendered,Figure 5. Comparison of fecundity between the upper and the lower surfaces of Acropora palmata. Mean area fertility: mean number of fertile polyps per square centimeter; mean fertile polyp fecundity: mean number of eggs per fertile polyp. The diagonal line indicates equal numbers on both surfaces.,"Crop exact figure/table panel from rendered source page; do not pool until panel, axes, units, variance, and sample size are verified."
