normalized_row_id,source_table,source_row,source_id,paper_title,local_relpath,response_type,taxon_raw,outcome_type,treatment_or_stressor,response_value,response_unit,control_value,wounded_value,variance_type,variance_value,sample_size,duration_days,figure_or_table_label,page,panel_label,qa_status,notes
RATE_EXTRACTED_OBSERVATIONS-35,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,35,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Siderastrea siderea,endpoint_percent_regenerated,unoiled reefs reciprocal transplant,35.9,percent regenerated,,,SD,5.4,,,Table 6,8,,extracted_needs_independent_qc,Reciprocal transplant percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-36,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,36,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Porites astreoides,endpoint_percent_regenerated,oiled reefs,49.1,percent regenerated,,,SD,13.0,,,Table 6,8,,extracted_needs_independent_qc,Experiment 1 percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-37,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,37,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Porites astreoides,endpoint_percent_regenerated,unoiled reefs,41.8,percent regenerated,,,SD,13.7,,,Table 6,8,,extracted_needs_independent_qc,Experiment 1 percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-38,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,38,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Porites astreoides,endpoint_percent_regenerated,oiled reefs,91.1,percent regenerated,,,SD,1.8,,,Table 6,8,,extracted_needs_independent_qc,Experiment 2 percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-39,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,39,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Porites astreoides,endpoint_percent_regenerated,unoiled reefs,59.2,percent regenerated,,,SD,12.8,,,Table 6,8,,extracted_needs_independent_qc,Experiment 2 percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-40,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,40,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Porites astreoides,endpoint_percent_regenerated,oiled reefs reciprocal transplant,83.9,percent regenerated,,,SD,5.0,,,Table 6,8,,extracted_needs_independent_qc,Reciprocal transplant percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-41,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,41,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Porites astreoides,endpoint_percent_regenerated,unoiled reefs reciprocal transplant,50.2,percent regenerated,,,SD,7.5,,,Table 6,8,,extracted_needs_independent_qc,Reciprocal transplant percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-42,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,42,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Diploria clivosa,endpoint_percent_regenerated,oiled reefs,89.7,percent regenerated,,,SD,1.6,,,Table 6,8,,extracted_needs_independent_qc,Experiment 2 percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-43,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,43,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Diploria clivosa,endpoint_percent_regenerated,unoiled reefs,77.6,percent regenerated,,,SD,4.9,,,Table 6,8,,extracted_needs_independent_qc,Experiment 2 percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-44,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,44,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Diploria clivosa,endpoint_percent_regenerated,oiled reefs reciprocal transplant,88.7,percent regenerated,,,SD,3.5,,,Table 6,8,,extracted_needs_independent_qc,Reciprocal transplant percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-45,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,45,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Diploria clivosa,endpoint_percent_regenerated,unoiled reefs reciprocal transplant,79.7,percent regenerated,,,SD,6.4,,,Table 6,8,,extracted_needs_independent_qc,Reciprocal transplant percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-46,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,46,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Diploria strigosa,endpoint_percent_regenerated,oiled reefs,79.2,percent regenerated,,,SD,4.8,,,Table 6,8,,extracted_needs_independent_qc,Experiment 2 percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-47,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,47,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Diploria strigosa,endpoint_percent_regenerated,unoiled reefs,56.6,percent regenerated,,,SD,6.1,,,Table 6,8,,extracted_needs_independent_qc,Experiment 2 percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-48,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,48,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Diploria strigosa,endpoint_percent_regenerated,oiled reefs reciprocal transplant,82.5,percent regenerated,,,SD,10.0,,,Table 6,8,,extracted_needs_independent_qc,Reciprocal transplant percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-49,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,49,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Diploria strigosa,endpoint_percent_regenerated,unoiled reefs reciprocal transplant,81.5,percent regenerated,,,SD,9.9,,,Table 6,8,,extracted_needs_independent_qc,Reciprocal transplant percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-50,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,50,3764e810-0eb0-4d34-baca-2c5136c95bc8,,,rate,Acropora palmata,closure_rate,small lesions <5 cm2,,linear closure rate,,,SE,1.31,20,,Figure 3,3,,extracted_needs_independent_qc,Mean closure rate first 30 d; extra-large lesions excluded.
RATE_EXTRACTED_OBSERVATIONS-51,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,51,3764e810-0eb0-4d34-baca-2c5136c95bc8,,,rate,Acropora palmata,closure_rate,medium lesions 5-10 cm2,,linear closure rate,,,SE,0.4,20,,Figure 3,3,,extracted_needs_independent_qc,Mean closure rate first 30 d.
RATE_EXTRACTED_OBSERVATIONS-52,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,52,3764e810-0eb0-4d34-baca-2c5136c95bc8,,,rate,Acropora palmata,closure_rate,large lesions 10-20 cm2,,linear closure rate,,,SE,0.3,12,,Figure 3,3,,extracted_needs_independent_qc,Mean closure rate first 30 d.
RATE_EXTRACTED_OBSERVATIONS-53,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,53,6b96575e-9bf7-46f2-a12e-73b565f46629,,,rate,Montastrea annularis,mean_regeneration_rate,bleached colonies,,mean tissue regeneration,,,not_reported,,41,,Figure 3,4,,extracted_needs_independent_qc,Mean regeneration rate of bleached colonies during first 8 d.
RATE_EXTRACTED_OBSERVATIONS-54,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,54,6b96575e-9bf7-46f2-a12e-73b565f46629,,,rate,Montastrea annularis,mean_regeneration_rate,normal colonies,,mean tissue regeneration,,,not_reported,,26,,Figure 3,4,,extracted_needs_independent_qc,Mean regeneration rate of normal colonies during first 8 d.
RATE_EXTRACTED_OBSERVATIONS-55,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,55,6b96575e-9bf7-46f2-a12e-73b565f46629,,,rate,Porites astreoides,mean_regeneration_rate,bleached Site 1,,mean tissue regeneration,,,SE,1.5,,,Table 1,5,,extracted_needs_independent_qc,Mean regeneration rate plus SE in Table 1.
RATE_EXTRACTED_OBSERVATIONS-56,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,56,6b96575e-9bf7-46f2-a12e-73b565f46629,,,rate,Porites astreoides,mean_regeneration_rate,normal Site 1,,mean tissue regeneration,,,SE,1.2,,,Table 1,5,,extracted_needs_independent_qc,Mean regeneration rate plus SE in Table 1.
RATE_EXTRACTED_OBSERVATIONS-57,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,57,6b96575e-9bf7-46f2-a12e-73b565f46629,,,rate,Porites astreoides,mean_regeneration_rate,bleached in effluent Site 2,,mean tissue regeneration,,,SE,1.1,,,Table 1,5,,extracted_needs_independent_qc,Mean regeneration rate plus SE in Table 1.
RATE_EXTRACTED_OBSERVATIONS-58,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,58,6b96575e-9bf7-46f2-a12e-73b565f46629,,,rate,Porites astreoides,mean_regeneration_rate,normal Site 3,,mean tissue regeneration,,,SE,0.5,31,,Table 1,5,,extracted_needs_independent_qc,Mean regeneration rate plus SE in Table 1.
RATE_EXTRACTED_OBSERVATIONS-59,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,59,6b96575e-9bf7-46f2-a12e-73b565f46629,,,rate,Porites astreoides,mean_regeneration_rate,bleached transplanted Site 3,,mean tissue regeneration,,,SE,0.7,23,,Table 1,5,,extracted_needs_independent_qc,Mean regeneration rate plus SE in Table 1.
RATE_EXTRACTED_OBSERVATIONS-60,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,60,6b96575e-9bf7-46f2-a12e-73b565f46629,,,rate,Meandrina meandrites,mean_regeneration_rate,normal colonies,,mean tissue regeneration,,,not_reported,,5,,Figure 3,4,,extracted_needs_independent_qc,Mean rate reported in prose for normal colonies.
RATE_EXTRACTED_OBSERVATIONS-61,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,61,6b96575e-9bf7-46f2-a12e-73b565f46629,,,rate,Meandrina meandrites,mean_regeneration_rate,bleached colonies,,mean tissue regeneration,,,not_reported,,9,,Figure 3,4,,extracted_needs_independent_qc,Mean rate reported in prose for bleached colonies.
RATE_EXTRACTED_OBSERVATIONS-62,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,62,cf0dfa52-c9e6-4d7f-9ae1-5970162a807f,,,rate,Montastrea annularis,endpoint_percent_completely_recovered,desalination-power-plant native series DPP,64,percent lesions completely recovered,,,not_reported,,24,,Figure 2,3,,extracted_needs_independent_qc,End-of-experiment percentage of lesions completely recovered; DPP measured 14 weeks.
RATE_EXTRACTED_OBSERVATIONS-63,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,63,cf0dfa52-c9e6-4d7f-9ae1-5970162a807f,,,rate,Montastrea annularis,endpoint_percent_completely_recovered,transplanted AB to DPP series T,63,percent lesions completely recovered,,,not_reported,,25,,Figure 2,3,,extracted_needs_independent_qc,End-of-experiment percentage of lesions completely recovered; transplant series measured 12 weeks.
RATE_EXTRACTED_OBSERVATIONS-64,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,64,cf0dfa52-c9e6-4d7f-9ae1-5970162a807f,,,rate,Montastrea annularis,endpoint_percent_completely_recovered,Awa Blancu control series AB,8,percent lesions completely recovered,,,not_reported,,25,,Figure 2,3,,extracted_needs_independent_qc,End-of-experiment percentage of lesions completely recovered; AB measured 14 weeks.
