queue_id,queue_audit_status,source_id,paper_title,response_type,source_file_status,local_relpath,candidate_rows_reviewed,verified_candidate_rows,replacement_candidate_rows,rejected_candidate_rows,blocked_rows,recommended_candidate_count,recommended_candidates,recommended_candidate_text,rejected_original_candidates,needs_manual_visual_review,recommended_action
DIG-3f852e08-growth,audited_candidate_available,3f852e08-6b2f-488b-9351-0f78b2ba41a5,Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,5,3,2,0,0,3,figure:Fig. 6:p8|figure:Fig. 5:p8|table:Table 1:p9,"figure:Fig. 6:p8 :: Fig. 6. Mean (+/- 95% CI) growth in terms of (a) normalized linear extension and (b) normalized weight of Pocillopora spp. nubbins in each of three predation treatments (Predation, cage control = CC, and Predation exclusion), plus (c) ratio between normalized weight gained and increased linear extension. || figure:Fig. 5:p8 :: Fig. 5. Adjusted mean (+/- 95% CI) of the change in weight attained by pocilloporid colonies exposed to different levels of simulated bite-inflicted damage (control = 0% or no damage, and 25, 50, or 75% of colony branch tips damaged). Means of change in weight were adjusted by ANCOVA to the mean initial weight of colonies. || table:Table 1:p9 :: Table 1. Carbonate budget estimated for La Azufrada coral reef, considering only the production of Pocillopora spp. and the destruction by the puffer Arothron meleagris.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-3f852e08-survival,no_valid_candidate_found,3f852e08-6b2f-488b-9351-0f78b2ba41a5,Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,5,0,0,5,0,0,,,figure:Fig. 1:p4|figure:Fig. 2:p5|figure:Fig. 3:p6|figure:Fig. 3b:p7|figure:Fig. 4:p7,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
DIG-40359446-growth,audited_candidate_available,40359446-8345-4a72-8169-af86ad3de9d6,Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,5,3,2,0,0,3,figure:Fig. 1:p7|table:Table 2:p7|table:Table 4:p8,"figure:Fig. 1:p7 :: Fig. 1. Pocillopora verrucosa. Growth after 10 d incubation at high/low flow and high/low temperature for corals that were injured or uninjured in two replicate trials. || table:Table 2:p7 :: Table 2. Results of a 3-way, blocked ANOVA comparing the growth in buoyant weight of Pocillopora verrucosa nubbins as a function of injury, flow speed, temperature, and their interaction in the laboratory experiment. || table:Table 4:p8 :: Table 4. Results of a 2-way ANOVA comparing the growth in buoyant weight of juvenile Pocillopora verrucosa as a function of substrate type, predation, and their interaction.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-40359446-rate,audited_candidate_available,40359446-8345-4a72-8169-af86ad3de9d6,Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,5,1,4,0,0,1,figure:Fig. 2:p8,figure:Fig. 2:p8 :: Fig. 2. Pocillopora verrucosa. Mean percent (+ SE) of lesions healed at the end of the 10 d trials; results from the two trials are pooled.,,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-45fcfd8e-growth,no_valid_candidate_found,45fcfd8e-a2d2-4345-aec0-baeb03f883a4,Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,5,0,0,5,0,0,,,figure:Fig. 1:p2|figure:Fig. 2:p3|figure:Fig. 3:p5|table:Table 1:p5|table:Table 2:p5,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
DIG-45fcfd8e-survival,audited_candidate_available,45fcfd8e-a2d2-4345-aec0-baeb03f883a4,Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,5,0,5,0,0,1,figure:Fig. 6:p7,"figure:Fig. 6:p7 :: Fig. 6. Probability of over-predation versus coral cover (C) and healing time (h). The surface is the model prediction as a function of C and h, the line is the model prediction for the measured healing time h = 42 days, and the points are site-specific probabilities of over-predation.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-4cc9b30b-growth,audited_candidate_available,4cc9b30b-9ed8-4123-82aa-2f182db391b7,Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,2,1,1,0,0,1,figure:Fig. 2:p3,"figure:Fig. 2:p3 :: Fig. 2. The average cumulative weight gain (g cm-2) for 5-cm undamaged controls, 4-cm treatment nubbins, 2-cm treatment nubbins, and 1-cm treatment nubbins over the 3-month monitoring period. The dashed line indicates the average time of scar healing.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-4cc9b30b-rate,audited_candidate_available,4cc9b30b-9ed8-4123-82aa-2f182db391b7,Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,2,1,1,0,0,1,figure:Fig. 2:p3,"figure:Fig. 2:p3 :: Fig. 2. The average cumulative weight gain (g cm-2) for 5-cm undamaged controls, 4-cm treatment nubbins, 2-cm treatment nubbins, and 1-cm treatment nubbins over the 3-month monitoring period. The dashed line indicates the average time of scar healing.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-58b15640-growth,audited_candidate_available,58b15640-3061-4ea9-a606-877701eef38c,"Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",growth,local_pdf_available,"literature/META_ANALYSIS_POOL/Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",5,4,1,0,0,4,figure:Fig. 3:p8|table:Table 2:p7|figure:Fig. 2:p7|table:Table 3:p7,figure:Fig. 3:p8 :: Fig. 3. Effect of lesion spacing on coral growth rates at different locations on the colony represented by the angle of growth. || table:Table 2:p7 :: Table 2. Model selection information: effect of lesion spacing on linear extension. || figure:Fig. 2:p7 :: Fig. 2. Effect of lesion spacing on percent of lesion healed and coral skeletal growth rate after 20 and 39 days. Values plotted are fitted values from the mixed effects model and error bars represent +/- 1 SE. || table:Table 3:p7 :: Table 3. Parameter estimates: effect of lesion spacing on linear extension.,,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-58b15640-rate,audited_candidate_available,58b15640-3061-4ea9-a606-877701eef38c,"Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",rate,local_pdf_available,"literature/META_ANALYSIS_POOL/Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",5,1,4,0,0,1,figure:Fig. 2:p7,figure:Fig. 2:p7 :: Fig. 2. Effect of lesion spacing on percent of lesion healed and coral skeletal growth rate after 20 and 39 days. Values plotted are fitted values from the mixed effects model and error bars represent +/- 1 SE.,,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-5f4a560f-rate,audited_candidate_available,5f4a560f-1449-4b1d-96ad-236a0da5fcb7,Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,5,2,3,0,0,2,figure:Fig. 1:p3|figure:Fig. 2:p5,"figure:Fig. 1:p3 :: Fig. 1. Lesion recovery of representative Stylophora pistillata fragments after 0, 30, and 60 d under three pCO2 treatments (400, 1,800, and 4,000 uatm). || figure:Fig. 2:p5 :: Fig. 2. Percentage tissue regeneration of lesions after 60 d under three pCO2 treatments (400, 1,800, and 4,000 uatm) in Porites sp., Favia favus, Acropora eurystoma, and Stylophora pistillata.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-635d9cb2-reproduction,audited_candidate_available,635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,reproduction,local_pdf_available,literature/META_ANALYSIS_POOL/Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,5,5,0,0,0,5,figure:Figure 1:p4|figure:Figure 3:p5|figure:Figure 5:p6|figure:Figure 6:p6|figure:Figure 2:p4,"figure:Figure 1:p4 :: Figure 1. Brood sizes of central versus marginal polyps in Favia fragum. Mean number of planulae per polyp based on five marginal polyps per colony and, depending upon colony size, up to five central polyps per colony; each point represents one colony. The diagonal line indicates equal brood size in marginal and central polyps. || figure:Figure 3:p5 :: Figure 3. Fecundity gradient on horizontal surface of Siderastrea siderea. Gonad index: mean gonad length x frequency of gonads, based on two randomly chosen mesenteries per polyp in each of ten randomly chosen polyps at any given location relative to that in the center of the horizontal surface of the colony. Vertical bars represent standard errors; 0 is beginning of fertile zone and C is center of the horizontal surface. || figure:Figure 5:p6 :: Figure 5. Comparison of fecundity between the upper and the lower surfaces of Acropora palmata. Mean area fertility: mean number of fertile polyps per square centimeter; mean fertile polyp fecundity: mean number of eggs per fertile polyp. The diagonal line indicates equal numbers on both surfaces. || figure:Figure 6:p6 :: Figure 6. Comparison of fecundity between vertical and horizontal surfaces of Siderastrea siderea. For each surface on each colony, relative gonad lengths and relative fecundity are plotted relative to the largest estimates in any colony. || figure:Figure 2:p4 :: Figure 2. Fecundity of polyps within colonies of Siderastrea radians. Fecundity: mean number of eggs per polyp, based on five polyps per location in each colony. Penultimate polyp: row of polyps immediately adjacent to margin polyps. Difference significant among the three groups.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-6da70b1c-rate,audited_candidate_available,6da70b1c-7428-4a76-904c-b69d981f2824,Sabine et al. - 2015 - Environmental conditions influence tissue regeneration rates in scleractinian corals.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Sabine et al. - 2015 - Environmental conditions influence tissue regeneration rates in scleractinian corals.pdf,5,2,3,0,0,3,table:Table 7:p7|figure:Fig. 6:p7|table:Table 2:p4,"table:Table 7:p7 :: Table 7. Results of ANCOVA with repeated measures assessing the effects of time, site, initial lesion area:colony area, and initial lesion perimeter on lesion recovery rates. || figure:Fig. 6:p7 :: Fig. 6. Mean overall daily tissue regeneration rates +/- SE by site. Means labeled with the same letters are not significantly different (Tukey HSD post hoc test). || table:Table 2:p4 :: Table 2. Results of multiple regression examining effects of environmental variables on lesion recovery rates, including Variance Inflation Factor (VIF) scores.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-6dffe94d-growth,audited_candidate_available,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",growth,local_pdf_available,"literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",5,2,3,0,0,2,figure:Fig. 1:p6|table:Table 3:p7,"figure:Fig. 1:p6 :: Fig. 1. Growth, as linear extension, of colonies of P. damicornis at Rottnest Island. Treatments are controls, fragmentation, dislodged, and fragmentation plus dislodgement. Error bars are standard errors. || table:Table 3:p7 :: Table 3. Three-factor orthogonal analysis of variance information for growth, as cumulative linear extension, of corals from Little Salmon Bay and Mary Cove between 17th December and 10th June, 1989.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-6dffe94d-reproduction,audited_candidate_available,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",reproduction,local_pdf_available,"literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",5,1,4,0,0,2,table:Table 4:p10|figure:Fig. 3:p9,"table:Table 4:p10 :: Table 4. Analysis of variance comparing index of reproductive potential for fragmented, dislodged and control corals from Little Salmon Bay and Mary Cove. || figure:Fig. 3:p9 :: Fig. 3. The standardised number of larvae captured at the new moon in March, 1989 from colonies of P. damicornis at Rottnest Island. Treatments are controls, fragmentation, dislodged, and fragmentation plus dislodgement; error bars are standard errors.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-6dffe94d-survival,audited_candidate_available,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",survival,local_pdf_available,"literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",5,1,4,0,0,1,table:Table 2:p6,table:Table 2:p6 :: Table 2. The number of corals from Little Salmon Bay and Mary Cove which died during the study period.,,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-6f750c49-rate,audited_candidate_available,6f750c49-3261-482c-ade2-373835f7cf40,Paz-García - 2006 - Temporal variation in the regeneration rate of artificial lesions in two morphotypes of Porites pana.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Paz-García - 2006 - Temporal variation in the regeneration rate of artificial lesions in two morphotypes of Porites pana.pdf,2,2,0,0,0,2,figure:Figure 3:p5|figure:Figure 4:p5,"figure:Figure 3:p5 :: Figure 3. Curve of lesion regeneration in Porites panamensis morphotypes. (a) Massive colonies and (b) columnar colonies, with cold and warm season fitted models. || figure:Figure 4:p5 :: Figure 4. Percentage of lesions with complete regeneration, partial regeneration and algal colonization in massive (grey) and columnar (black) colonies of Porites panamensis during the warm and cold seasons.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-84a7b2a4-rate,audited_candidate_available,84a7b2a4-6982-4dce-a39a-2d4f07d0176b,Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,5,1,4,0,0,2,table:Table 3:p6|table:Table 1:p5,"table:Table 3:p6 :: Table 3. One-way ANOVA of the NFT/P ratios attained during the first month. Definitions of lesion type abbreviations are given in Table 1. || table:Table 1:p5 :: Table 1. Percent reduction of lesion areas during the first, second, and third monthly intervals and during the entire 0-90 d study period for the five lesion types.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-8c205a55-rate,audited_candidate_available,8c205a55-4093-46c5-a7c2-e356c8bf6a7c,Nagelkerken and Bak - 1998 - Differential regeneration of artificial lesions among sympatric morphs of the Caribbean corals Porit.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Nagelkerken and Bak - 1998 - Differential regeneration of artificial lesions among sympatric morphs of the Caribbean corals Porit.pdf,1,1,0,0,0,1,figure:Fig. 2:p3,figure:Fig. 2:p3 :: Fig. 2. Regression slopes of lesion recovery (lesion size vs time) for the different morphs of Porites astreoides and Stephanocoenia michelinii and species/morphs of Madracis.,,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-9c887b4c-rate,audited_candidate_available,9c887b4c-dae5-4725-96db-948c2491e53d,Titlyanov et al. - 2006 - Three stages of injuries regeneration on scleractinian corals.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Titlyanov et al. - 2006 - Three stages of injuries regeneration on scleractinian corals.pdf,5,3,2,0,0,3,figure:Fig. 2:p5|figure:Fig. 3:p8|figure:Fig. 4:p8,"figure:Fig. 2:p5 :: Fig. 2. Growth rate and regeneration of lesions on fragments of the corals Porites lutea and Porites cylindrica inflicted with different injury types and maintained in aquaria under moderate light intensity during two winter months. Means +/- SD, n = 8. || figure:Fig. 3:p8 :: Fig. 3. Regeneration rate of Water-Pik injury at the different positions on the fragments of Porites lutea maintained in aquaria at 30% PAR0 during the winter and spring periods. Means +/- SD, n = 5. || figure:Fig. 4:p8 :: Fig. 4. Regeneration rate of Water-Pik injury at the different position of lesions on the fragments of Porites lutea maintained in aquaria at different irradiance levels during the experiment from May 10, 2003 to July 10, 2003. Means +/- SD, n = 5.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-9cbae935-growth,audited_candidate_available,9cbae935-6259-4ba6-a2ec-44d3f3bc0902,Yap and Gomez - 1984 - Growth of Acropora pulchra II. Responses of natural and transplanted colonies to temperature and da.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Yap and Gomez - 1984 - Growth of Acropora pulchra II. Responses of natural and transplanted colonies to temperature and da.pdf,5,4,1,0,0,4,figure:Fig. 2:p3|table:Table 1:p4|table:Table 3:p5|table:Table 4:p6,"figure:Fig. 2:p3 :: Fig. 2. Acropora pulchra. Mean monthly growth rates (cm/month) of transplants from December 1980 to March 1982. Solid lines represent significant differences and dashed lines insignificant differences. || table:Table 1:p4 :: Table 1. Acropora pulchra. Regeneration and growth of broken branches, including length of new growth, growth period, and projected growth rate. || table:Table 3:p5 :: Table 3. Acropora pulchra. Correlation coefficients showing the relationship between biological parameters, including growth rates, zero growth, percentage mortality, and budding, and the environmental factors day length and temperature. || table:Table 4:p6 :: Table 4. Acropora pulchra. Projected annual growth rates for Site A, Site B, Site D and mean controls under different observation periods.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-9cbae935-survival,audited_candidate_available,9cbae935-6259-4ba6-a2ec-44d3f3bc0902,Yap and Gomez - 1984 - Growth of Acropora pulchra II. Responses of natural and transplanted colonies to temperature and da.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Yap and Gomez - 1984 - Growth of Acropora pulchra II. Responses of natural and transplanted colonies to temperature and da.pdf,5,2,3,0,0,2,figure:Fig. 4:p4|table:Table 3:p5,"figure:Fig. 4:p4 :: Fig. 4. Acropora pulchra. Percentage mortalities of branches of transplants for each monthly interval from October 1980 to September 1981 and for the period September 1981-March 1982. || table:Table 3:p5 :: Table 3. Acropora pulchra. Correlation coefficients showing the relationship between biological parameters, including growth rates, zero growth, percentage mortality, and budding, and the environmental factors day length and temperature.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-9d6998fc-growth,audited_candidate_available,9d6998fc-caf1-4dbd-883f-ad9b9184d062,Shaver et al. - 2017 - Effects of predation and nutrient enrichment on the success and microbiome of a foundational coral.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Shaver et al. - 2017 - Effects of predation and nutrient enrichment on the success and microbiome of a foundational coral.pdf,5,2,3,0,0,2,figure:FIG. 2:p6|table:Table 2:p8,"figure:FIG. 2:p6 :: FIG. 2. Effects of predation by Coralliophila abbreviata and nutrient enrichment on (A) full colony mortality, (B) tissue loss per coral colony, (C) growth as total linear extension of all branches, and (D) turf algae colonization. Error bars represent standard error of the mean. || table:Table 2:p8 :: TABLE 2. Significant correlations among microbial OTUs in coral microbiomes and metrics of coral health. P-values are false discovery rate corrected.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-9d6998fc-survival,audited_candidate_available,9d6998fc-caf1-4dbd-883f-ad9b9184d062,Shaver et al. - 2017 - Effects of predation and nutrient enrichment on the success and microbiome of a foundational coral.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Shaver et al. - 2017 - Effects of predation and nutrient enrichment on the success and microbiome of a foundational coral.pdf,5,3,2,0,0,3,figure:FIG. 2:p6|figure:FIG. 1:p4|table:Table 2:p8,"figure:FIG. 2:p6 :: FIG. 2. Effects of predation by Coralliophila abbreviata and nutrient enrichment on (A) full colony mortality, (B) tissue loss per coral colony, (C) growth as total linear extension of all branches, and (D) turf algae colonization. Error bars represent standard error of the mean. || figure:FIG. 1:p4 :: FIG. 1. (A) Coralliophila abbreviata on Acropora cervicornis creating feeding scars, (B) tissue sloughing after snail removal, and (C) tissue sloughing leading to rapid coral mortality. || table:Table 2:p8 :: TABLE 2. Significant correlations among microbial OTUs in coral microbiomes and metrics of coral health. P-values are false discovery rate corrected.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-9f560a14-survival,audited_candidate_available,9f560a14-a39a-4d71-8d68-9c14a4001c75,Nicolet et al. - 2018 - Predation scars may influence host susceptibility to pathogens evaluating the role of corallivores.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Nicolet et al. - 2018 - Predation scars may influence host susceptibility to pathogens evaluating the role of corallivores.pdf,4,2,2,0,0,2,figure:Figure 1:p3|figure:Figure 2:p4,"figure:Figure 1:p3 :: Figure 1. Percentage of nubbins infected in disease transmission experiments involving the butterflyfish Chaetodon plebeius and the snail Drupella under brown band and black band disease treatments and controls. || figure:Figure 2:p4 :: Figure 2. Table plot illustrating the proportion of healthy and infected nubbins in relation to caging treatment, disease type, and reef site. The field experiment ran for 7 days and was monitored every second day; N = 96 nubbins overall.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-9f7a74ab-rate,audited_candidate_available,9f7a74ab-485d-44be-88c3-28c6b4a7c491,Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,5,1,4,0,0,1,figure:Fig. 2:p5,figure:Fig. 2:p5 :: Fig. 2. Correlation of tissue regeneration and fracture orientation in damaged polyps (n = 18) of Fungia granulosa at 8 months after breakage. Only corals with 10-50% breakage are shown. See Fig. 1 for explanation of fracture orientation.,,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-9f7a74ab-survival,audited_candidate_available,9f7a74ab-485d-44be-88c3-28c6b4a7c491,Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,5,1,4,0,0,1,figure:Fig. 3:p6,figure:Fig. 3:p6 :: Fig. 3. Tissue necrosis in experimentally fragmented polyps of Fungia granulosa. (A) Intact control corals (n = 21). (B) Corals with 10-50% breakage (n = 18). (C) Corals with 51-90% breakage (n = 25). 100% tissue necrosis = dead coral.,,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-a3b88246-rate,audited_candidate_available,a3b88246-eb7f-49ed-a997-67c6d36e9413,Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,5,2,3,0,0,2,table:Table 2:p6|figure:FIG. 3:p7,"table:Table 2:p6 :: TABLE 2. Average percentage (+/- 1 SD) lesion recovery during three consecutive monthly intervals (see Fig. 2 for description of lesion type). Recovery rates (%). || figure:FIG. 3:p7 :: FIG. 3. Average percentage recovery rates recorded for the small, intermediate, and large Favia favus colonies during the first month after injury: (a) colonies inflicted with SP lesions (n = 8), (b) colonies inflicted with E-2 lesions (n = 8), and (c) colonies inflicted with E-3 lesions (n = 8). Error bars represent the upper range of the 95% confidence interval for the mean deduced from the calculated percentage data.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-a3b88246-reproduction,audited_candidate_available,a3b88246-eb7f-49ed-a997-67c6d36e9413,Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,reproduction,local_pdf_available,literature/META_ANALYSIS_POOL/Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,5,1,4,0,0,2,table:Table 4:p8|figure:FIG. 5:p8,"table:Table 4:p8 :: TABLE 4. Two-way analysis of variance examining the effect of lesion type and the distance from the lesion on polyp fecundity of Favia favus (for details see Fig. 5). || figure:FIG. 5:p8 :: FIG. 5. Gray bars depict fecundity in terms of average oocytes per septum (+/- SD) recorded in Favia favus polyps sampled at distances of 1, 7, and 15 cm away from: (a) monthly repeated SP lesions (n = 8), (b) monthly repeated E-3 lesions (n = 8), and (c) monthly repeated E-10 lesions (n = 8). The lesions were inflicted on the upper surface of the colonies in February 1996 and then re-inflicted monthly throughout oogenesis. Black bars present fecundity of intact controls.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-a67392b0-growth,audited_candidate_available,a67392b0-7a7e-43ad-917d-94febf750c1a,Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,4,3,1,0,0,3,figure:FIG. 2:p5|figure:FIG. 3:p6|figure:FIG. 5:p7,figure:FIG. 2:p5 :: FIG. 2. Skeletal growth (mean and 95% CI) of Acropora elseyi as a function of mean current velocity and velocity fluctuations. Data are from corallivorous fish exclusion treatments. || figure:FIG. 3:p6 :: FIG. 3. Skeletal growth (mean and 95% CI) of Acropora elseyi exposed to predators shown as a function of mean current velocity and velocity fluctuations. || figure:FIG. 5:p7 :: FIG. 5. Difference in growth (mean and 95% CI) of Acropora elseyi between predator-exclusion and predator-exposed treatments as a function of corallivorous fish density and consumer pressure.,,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-a67392b0-survival,no_valid_candidate_found,a67392b0-7a7e-43ad-917d-94febf750c1a,Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,4,0,0,4,0,0,,,figure:FIG. 1:p3|figure:FIG. 2:p5|figure:FIG. 3:p6|figure:FIG. 5:p7,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
DIG-acf00158-rate,audited_candidate_available,acf00158-0890-4388-9a0e-da9194664ef6,Kaufman et al. - 2021 - Thermal history influences lesion recovery of the threatened Caribbean staghorn coral Acropora cervi.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Kaufman et al. - 2021 - Thermal history influences lesion recovery of the threatened Caribbean staghorn coral Acropora cervi.pdf,3,1,2,0,0,1,figure:Fig. 3:p4,"figure:Fig. 3:p4 :: Fig. 3. Log(-log(survival)) curves as a function of time (log scale) using separate Cox proportional hazard models for the ambient temperature treatment and the warm temperature treatment, with thermal history indicated.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-ad751939-rate,audited_candidate_available,ad751939-b061-4323-9097-c1e7d2e9576f,Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,5,1,4,0,0,1,table:Table 1:p4,"table:Table 1:p4 :: Table 1. Oculina patagonica. Percentage lesion recovery over 45 d of 2 cm2 lesions inflicted on the surface of unbleached, partly bleached, and totally bleached colonies.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
