normalized_row_id,source_table,source_row,source_id,response_type,paper_title,local_relpath,analysis_ready,readiness_status,blocking_issue_count,blocking_issues,warning_issues,next_action,taxon_raw,outcome_type,treatment_or_stressor,response_value,response_unit,rate_value,rate_unit,rate_derivation_basis,observation_type,control_value,wounded_value,variance_type,variance_value,sample_size,duration_days,timepoint_or_interval,figure_or_table_label,page,panel_label,qa_status,evidence_key,extraction_provenance,calculation_notes,value_data_file,matched_crop_count,matched_crop_paths,matched_crop_review_statuses,matched_final_clip_paths,matched_digitized_data_paths,concrete_digitized_data_files,concrete_final_clip_files
RATE_EXTRACTED_OBSERVATIONS-7,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,7,4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,rate,,,0,blocked,4,qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Acropora muricata,model_slope_and_time_to_closure,site,24,percent initial lesion size remaining,-0.024,d-1,reported_exponential_slope,model_slope_and_time_to_closure,,,SD,0.012,25,,53 d,Figure 3,3,,extracted_needs_independent_qc,pdf_page_3_text,,Exponential decay slope reported for remaining lesion size; modeled complete healing averaged 192 d.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-8,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,8,4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,rate,,,0,blocked,5,variance_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Acropora muricata,model_time_to_closure,site,complete,modeled healing,,,time_to_closure,model_time_to_closure,,,,,25,,192 d,Figure 3,3,,extracted_needs_independent_qc,pdf_page_3_text,,Same exponential model as slope row; complete healing averaged 192 d.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-9,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,9,4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,rate,,,0,blocked,4,qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Acropora muricata,model_slope_and_time_to_closure,site,3,percent initial lesion size remaining,-0.057,d-1,reported_exponential_slope,model_slope_and_time_to_closure,,,SD,0.017,23,,53 d,Figure 3,3,,extracted_needs_independent_qc,pdf_page_3_text,,Exponential decay slope reported for remaining lesion size; modeled complete healing averaged 81 d.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-10,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,10,4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,rate,,,0,blocked,5,variance_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Acropora muricata,model_time_to_closure,site,complete,modeled healing,,,time_to_closure,model_time_to_closure,,,,,23,,81 d,Figure 3,3,,extracted_needs_independent_qc,pdf_page_3_text,,Same exponential model as slope row; complete healing averaged 81 d.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-11,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,11,b0949a7c-520e-4a37-af04-25979598ec2d,rate,,,0,blocked,4,qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Porites spp.,range_across_treatments,all temperature-flow treatments,42-54,percent lesion area decline,4-5,percent d-1,reported_proportional_rate,range_across_treatments,,,range,across treatments,40,,10 d,Figure 2,6,,coarse_extraction_needs_qc,pdf_page_6_text,,Text reports mean lesion-area decline range over four treatments and equivalent healing rates.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-12,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,12,2e3b055f-28df-4def-97aa-660ac537a95f,rate,,,0,blocked,4,qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Porites spp.,initial_decline_rate,ambient PCO2,20.6,percent original lesion area remaining at 20 d,7.6,percent d-1,reported_proportional_rate,initial_decline_rate,,,SE,0.8,20,,first 3 d,Figure 2,4,,extracted_needs_independent_qc,pdf_page_4_text,,Initial decline rate from Experiment 2; final endpoint after 20 d retained in response fields.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-13,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,13,2e3b055f-28df-4def-97aa-660ac537a95f,rate,,,0,blocked,4,qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Porites spp.,initial_decline_rate,elevated PCO2,22.7,percent original lesion area remaining at 20 d,9.0,percent d-1,reported_proportional_rate,initial_decline_rate,,,SE,0.9,20,,first 3 d,Figure 2,4,,extracted_needs_independent_qc,pdf_page_4_text,,Initial decline rate from Experiment 2; final endpoint after 20 d retained in response fields.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-14,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,14,2e3b055f-28df-4def-97aa-660ac537a95f,rate,,,0,blocked,5,variance_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Porites spp.,overall_rate,ambient PCO2,,percent original lesion area,4.0,percent d-1,reported_proportional_rate,overall_rate,,,not_reported,,20,,20 d,Figure 2,5,,extracted_needs_independent_qc,pdf_page_5_text,,Discussion reports overall healing rate in ambient PCO2 during Experiment 2.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-15,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,15,2e3b055f-28df-4def-97aa-660ac537a95f,rate,,,0,blocked,5,variance_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Porites spp.,overall_rate,elevated PCO2,,percent original lesion area,3.9,percent d-1,reported_proportional_rate,overall_rate,,,not_reported,,20,,20 d,Figure 2,5,,extracted_needs_independent_qc,pdf_page_5_text,,Discussion reports overall healing rate in elevated PCO2 during Experiment 2.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-16,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,16,348d7203-b68d-472c-89da-e3e6704b2f50,rate,,,0,blocked,1,qa_status_not_ready,,Independent reviewer should verify the row against the cited PDF/table/figure and set qa_status to qc_passed.,Acropora palmata,model_slope,3 cm from branch tip,,lesion surface area,0.213,base10 exponential slope d-1,reported_exponential_slope,model_slope,,,95% CI,0.170-0.267,21,,30 d,Table 1,4,,extracted_needs_independent_qc,pdf_page_4_table_1,,Model uses lesion size = S0 plus Smax times 10^(-slope*days); slope is reported as positive magnitude.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-17,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,17,348d7203-b68d-472c-89da-e3e6704b2f50,rate,,,0,blocked,1,qa_status_not_ready,,Independent reviewer should verify the row against the cited PDF/table/figure and set qa_status to qc_passed.,Acropora palmata,model_slope,12 cm from branch tip,,lesion surface area,0.127,base10 exponential slope d-1,reported_exponential_slope,model_slope,,,95% CI,0.095-0.170,21,,30 d,Table 1,4,,extracted_needs_independent_qc,pdf_page_4_table_1,,Model uses lesion size = S0 plus Smax times 10^(-slope*days); slope is reported as positive magnitude.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-18,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,18,348d7203-b68d-472c-89da-e3e6704b2f50,rate,,,0,blocked,1,qa_status_not_ready,,Independent reviewer should verify the row against the cited PDF/table/figure and set qa_status to qc_passed.,Acropora palmata,model_slope,66 cm from branch tip,,lesion surface area,0.065,base10 exponential slope d-1,reported_exponential_slope,model_slope,,,95% CI,0.050-0.085,21,,30 d,Table 1,4,,extracted_needs_independent_qc,pdf_page_4_table_1,,Model uses lesion size = S0 plus Smax times 10^(-slope*days); slope is reported as positive magnitude.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-19,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,19,a1e7fabd-36e1-4556-804c-e6f1a9c17581,rate,,,0,blocked,5,sample_size_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Montastraea spp.,short_term_rate,6 m site,,standardized regeneration rate,23,cm d-1 x10^-4 standardized to initial lesion perimeter,reported_proportional_rate,short_term_rate,,,SE,2,,,45-154 d,Figure 4,5,,extracted_needs_independent_qc,pdf_page_5_text,,Short-term regeneration rate among 6 m sites.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-20,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,20,a1e7fabd-36e1-4556-804c-e6f1a9c17581,rate,,,0,blocked,5,sample_size_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Montastraea spp.,short_term_rate,6 m site,,standardized regeneration rate,15,cm d-1 x10^-4 standardized to initial lesion perimeter,reported_proportional_rate,short_term_rate,,,SE,2,,,45-154 d,Figure 4,5,,extracted_needs_independent_qc,pdf_page_5_text,,Short-term regeneration rate among 6 m sites.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-21,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,21,a1e7fabd-36e1-4556-804c-e6f1a9c17581,rate,,,0,blocked,5,sample_size_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Montastraea spp.,short_term_rate,6 m site,,standardized regeneration rate,7,cm d-1 x10^-4 standardized to initial lesion perimeter,reported_proportional_rate,short_term_rate,,,SE,2,,,45-154 d,Figure 4,5,,extracted_needs_independent_qc,pdf_page_5_text,,Short-term regeneration rate among 6 m sites.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-22,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,22,a1e7fabd-36e1-4556-804c-e6f1a9c17581,rate,,,0,blocked,5,sample_size_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Montastraea spp.,short_term_rate,6 m site,,standardized regeneration rate,6,cm d-1 x10^-4 standardized to initial lesion perimeter,reported_proportional_rate,short_term_rate,,,SE,2,,,45-154 d,Figure 4,5,,extracted_needs_independent_qc,pdf_page_5_text,,Short-term regeneration rate among 6 m sites.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-23,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,23,a1e7fabd-36e1-4556-804c-e6f1a9c17581,rate,,,0,blocked,5,sample_size_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Montastraea spp.,short_term_rate,depth gradient,,standardized regeneration rate,19,cm d-1 x10^-4 standardized to initial lesion perimeter,reported_proportional_rate,short_term_rate,,,SE,3,,,45-154 d,Figure 4,6,,extracted_needs_independent_qc,pdf_page_6_text,,Short-term regeneration rate along depth gradient.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-24,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,24,a1e7fabd-36e1-4556-804c-e6f1a9c17581,rate,,,0,blocked,5,sample_size_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Montastraea spp.,short_term_rate,depth gradient,,standardized regeneration rate,7,cm d-1 x10^-4 standardized to initial lesion perimeter,reported_proportional_rate,short_term_rate,,,SE,2,,,45-154 d,Figure 4,6,,extracted_needs_independent_qc,pdf_page_6_text,,Short-term regeneration rate along depth gradient.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-25,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,25,3a3fb59c-a303-49f1-aa80-21ffe7d182cf,rate,,,0,blocked,1,qa_status_not_ready,,Independent reviewer should verify the row against the cited PDF/table/figure and set qa_status to qc_passed.,Acropora palmata,interval_linear_rate,Oct-Dec interval,,linear tissue-front advance,1.59,cm month-1,reported_linear_rate,interval_linear_rate,,,SE,0.31,6,,T1-T2,Table I,7,,extracted_needs_independent_qc,pdf_page_7_table_1,,Overall mean for six natural hurricane-generated lesions.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-26,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,26,3a3fb59c-a303-49f1-aa80-21ffe7d182cf,rate,,,0,blocked,1,qa_status_not_ready,,Independent reviewer should verify the row against the cited PDF/table/figure and set qa_status to qc_passed.,Acropora palmata,interval_linear_rate,Dec-Mar interval,,linear tissue-front advance,0.78,cm month-1,reported_linear_rate,interval_linear_rate,,,SE,0.21,6,,T2-T3,Table I,7,,extracted_needs_independent_qc,pdf_page_7_table_1,,Overall mean for six natural hurricane-generated lesions.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-27,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,27,3a3fb59c-a303-49f1-aa80-21ffe7d182cf,rate,,,0,blocked,1,qa_status_not_ready,,Independent reviewer should verify the row against the cited PDF/table/figure and set qa_status to qc_passed.,Acropora palmata,interval_linear_rate,Oct-Mar interval,,linear tissue-front advance,1.47,cm month-1,reported_linear_rate,interval_linear_rate,,,SE,0.16,6,,T1-T3,Table I,7,,extracted_needs_independent_qc,pdf_page_7_table_1,,Overall mean for six natural hurricane-generated lesions.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-28,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,28,3a3fb59c-a303-49f1-aa80-21ffe7d182cf,rate,,,0,blocked,1,qa_status_not_ready,,Independent reviewer should verify the row against the cited PDF/table/figure and set qa_status to qc_passed.,Acropora palmata,interval_areal_rate,Oct-Mar interval,,area recovered,3.0,cm2 month-1,reported_areal_rate,interval_areal_rate,,,SE,0.7,6,,T1-T3,Table I,7,,extracted_needs_independent_qc,pdf_page_7_table_1,,Overall mean area recovered for six natural hurricane-generated lesions.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-29,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,29,3a3fb59c-a303-49f1-aa80-21ffe7d182cf,rate,,,0,blocked,1,qa_status_not_ready,,Independent reviewer should verify the row against the cited PDF/table/figure and set qa_status to qc_passed.,Acropora palmata,endpoint_percent_recovered,Oct-Mar interval,31.1,percent area recovered,,percent,initial_final_wound_size,endpoint_percent_recovered,,,SE,6.7,6,,T1-T3,Table I,7,,extracted_needs_independent_qc,pdf_page_7_table_1,,Overall mean percent area recovered across six natural hurricane-generated lesions.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-30,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,30,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Siderastrea siderea,endpoint_percent_regenerated,oiled reefs,47.0,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,10.8,,,12 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Experiment 1 percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-31,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,31,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Siderastrea siderea,endpoint_percent_regenerated,unoiled reefs,6.1,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,3.0,,,12 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Experiment 1 percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-32,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,32,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Siderastrea siderea,endpoint_percent_regenerated,oiled reefs,76.5,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,3.5,,,22 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Experiment 2 percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-33,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,33,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Siderastrea siderea,endpoint_percent_regenerated,unoiled reefs,35.2,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,10.1,,,22 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Experiment 2 percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-34,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,34,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Siderastrea siderea,endpoint_percent_regenerated,oiled reefs reciprocal transplant,80.5,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,4.4,,,25 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Reciprocal transplant percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-35,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,35,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Siderastrea siderea,endpoint_percent_regenerated,unoiled reefs reciprocal transplant,35.9,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,5.4,,,25 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Reciprocal transplant percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-36,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,36,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Porites astreoides,endpoint_percent_regenerated,oiled reefs,49.1,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,13.0,,,12 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Experiment 1 percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-37,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,37,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Porites astreoides,endpoint_percent_regenerated,unoiled reefs,41.8,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,13.7,,,12 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Experiment 1 percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-38,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,38,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Porites astreoides,endpoint_percent_regenerated,oiled reefs,91.1,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,1.8,,,22 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Experiment 2 percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-39,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,39,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Porites astreoides,endpoint_percent_regenerated,unoiled reefs,59.2,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,12.8,,,22 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Experiment 2 percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-40,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,40,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Porites astreoides,endpoint_percent_regenerated,oiled reefs reciprocal transplant,83.9,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,5.0,,,25 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Reciprocal transplant percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-41,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,41,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Porites astreoides,endpoint_percent_regenerated,unoiled reefs reciprocal transplant,50.2,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,7.5,,,25 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Reciprocal transplant percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-42,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,42,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Diploria clivosa,endpoint_percent_regenerated,oiled reefs,89.7,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,1.6,,,22 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Experiment 2 percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-43,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,43,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Diploria clivosa,endpoint_percent_regenerated,unoiled reefs,77.6,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,4.9,,,22 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Experiment 2 percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-44,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,44,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Diploria clivosa,endpoint_percent_regenerated,oiled reefs reciprocal transplant,88.7,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,3.5,,,25 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Reciprocal transplant percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-45,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,45,6a14a9e9-da4e-425f-bf9d-59fa573487e1,rate,,,0,blocked,2,sample_size_missing|qa_status_not_ready,,"Resolve blocking fields, then independently verify against the source PDF.",Diploria clivosa,endpoint_percent_regenerated,unoiled reefs reciprocal transplant,79.7,percent regenerated,,percent,initial_final_wound_size,endpoint_percent_regenerated,,,SD,6.4,,,25 mo,Table 6,8,,extracted_needs_independent_qc,pdf_page_8_table_6,,Reciprocal transplant percent coral regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
